Geography Identifier,geography, households_all_races_2010, household_has_three_or_more_generations_all_races_2010, percent_multigenerational_households_all_races_2010, black_households_2010, black_household_has_three_or_more_generations_2010, black_percent_multigenerational_households_2010, asian_households_2010, asian_household_has_three_or_more_generations_2010, asian_percent_multigenerational_households_2010, two_or_more_races_households_2010, two_or_more_household_has_three_or_more_generations_2010, two_or_more_percent_multigenerational_households_2010, latino_households_2010, latino_household_has_three_or_more_generations_2010, latino_percent_multigenerational_households_2010, white_households_2010, white_household_has_three_or_more_generations_2010, white_percent_multigenerational_households_2010, 
8055,"Huerfano County, Colorado",3137,80,2.55%,14,0,0.00%,8,1,12.50%,115,5,4.35%,949,45,4.74%,2656,56,2.11%
8057,"Jackson County, Colorado",649,5,0.77%,0,0,0,0,0,0,4,0,0.00%,49,0,0.00%,614,5,0.81%
8059,"Jefferson County, Colorado",218160,6060,2.78%,2012,77,3.83%,4328,312,7.21%,3663,172,4.70%,22964,1509,6.57%,199590,4902,2.46%
8061,"Kiowa County, Colorado",619,10,1.62%,0,0,0,0,0,0,8,0,0.00%,19,1,5.26%,604,10,1.66%
8063,"Kit Carson County, Colorado",3038,50,1.65%,8,0,0.00%,8,0,0.00%,35,0,0.00%,329,18,5.47%,2821,38,1.35%
8065,"Lake County, Colorado",2953,72,2.44%,13,2,15.38%,13,1,7.69%,85,0,0.00%,824,44,5.34%,2528,52,2.06%
8067,"La Plata County, Colorado",21100,418,1.98%,73,3,4.11%,71,2,2.82%,442,13,2.94%,1882,100,5.31%,19004,296,1.56%
8069,"Larimer County, Colorado",120295,2584,2.15%,857,29,3.38%,1875,67,3.57%,1980,72,3.64%,8895,548,6.16%,111904,2179,1.95%
8071,"Las Animas County, Colorado",6384,234,3.67%,30,0,0.00%,28,0,0.00%,194,11,5.67%,2426,124,5.11%,5524,192,3.48%
8073,"Lincoln County, Colorado",1948,40,2.05%,13,0,0.00%,8,0,0.00%,33,0,0.00%,82,4,4.88%,1849,39,2.11%
8075,"Logan County, Colorado",8047,194,2.41%,55,2,3.64%,25,0,0.00%,85,3,3.53%,716,35,4.89%,7589,171,2.25%
8077,"Mesa County, Colorado",58095,1789,3.08%,263,10,3.80%,327,18,5.50%,985,36,3.65%,5510,333,6.04%,53658,1530,2.85%
8079,"Mineral County, Colorado",355,2,0.56%,1,0,0.00%,0,0,0,0,0,0,5,0,0.00%,351,2,0.57%
8081,"Moffat County, Colorado",5465,131,2.40%,13,0,0.00%,17,1,5.88%,85,2,2.35%,577,32,5.55%,5057,107,2.12%
8083,"Montezuma County, Colorado",10541,338,3.21%,14,1,7.14%,32,1,3.13%,151,4,2.65%,873,44,5.04%,9078,204,2.25%
8085,"Montrose County, Colorado",16484,486,2.95%,52,2,3.85%,76,3,3.95%,262,19,7.25%,2225,161,7.24%,14961,367,2.45%
8087,"Morgan County, Colorado",10294,438,4.25%,202,6,2.97%,45,3,6.67%,160,10,6.25%,2453,253,10.31%,8740,301,3.44%
8089,"Otero County, Colorado",7729,251,3.25%,36,2,5.56%,50,2,4.00%,224,8,3.57%,2669,161,6.03%,6334,174,2.75%
8091,"Ouray County, Colorado",2022,18,0.89%,0,0,0,5,0,0.00%,18,1,5.56%,60,2,3.33%,1976,17,0.86%
8093,"Park County, Colorado",7174,107,1.49%,26,1,3.85%,30,1,3.33%,110,0,0.00%,245,13,5.31%,6911,97,1.40%
8095,"Phillips County, Colorado",1819,44,2.42%,8,0,0.00%,7,0,0.00%,18,3,16.67%,222,24,10.81%,1683,32,1.90%
8097,"Pitkin County, Colorado",8152,55,0.67%,33,1,3.03%,82,1,1.22%,87,0,0.00%,488,12,2.46%,7771,48,0.62%
8099,"Prowers County, Colorado",4935,152,3.08%,16,0,0.00%,11,0,0.00%,79,3,3.80%,1333,78,5.85%,4216,120,2.85%
8101,"Pueblo County, Colorado",62972,2733,4.34%,1132,53,4.68%,392,23,5.87%,1743,103,5.91%,22418,1482,6.61%,51938,2013,3.88%
8103,"Rio Blanco County, Colorado",2647,61,2.30%,8,0,0.00%,8,0,0.00%,45,1,2.22%,175,11,6.29%,2486,53,2.13%
8105,"Rio Grande County, Colorado",4779,162,3.39%,10,0,0.00%,12,2,16.67%,121,5,4.13%,1771,106,5.99%,3857,108,2.80%
8107,"Routt County, Colorado",9892,104,1.05%,28,0,0.00%,47,0,0.00%,100,2,2.00%,440,16,3.64%,9527,95,1.00%
8109,"Saguache County, Colorado",2640,73,2.77%,6,0,0.00%,18,0,0.00%,59,2,3.39%,839,55,6.56%,2265,51,2.25%
8111,"San Juan County, Colorado",344,5,1.45%,0,0,0,4,0,0.00%,4,0,0.00%,27,1,3.70%,326,5,1.53%
8113,"San Miguel County, Colorado",3454,28,0.81%,14,1,7.14%,25,0,0.00%,41,1,2.44%,212,6,2.83%,3273,25,0.76%
8115,"Sedgwick County, Colorado",1093,25,2.29%,6,0,0.00%,11,0,0.00%,16,0,0.00%,107,5,4.67%,1019,21,2.06%
8117,"Summit County, Colorado",11754,136,1.16%,69,1,1.45%,87,2,2.30%,144,5,3.47%,1063,65,6.11%,10969,94,0.86%
8119,"Teller County, Colorado",9805,233,2.38%,38,0,0.00%,50,0,0.00%,181,7,3.87%,376,18,4.79%,9378,218,2.32%
8121,"Washington County, Colorado",1980,55,2.78%,1,0,0.00%,3,0,0.00%,15,3,20.00%,91,12,13.19%,1933,50,2.59%
8123,"Weld County, Colorado",89349,3768,4.22%,708,36,5.08%,930,54,5.81%,1728,102,5.90%,18965,1811,9.55%,77716,2799,3.60%
8125,"Yuma County, Colorado",3952,93,2.35%,4,0,0.00%,5,0,0.00%,26,1,3.85%,545,42,7.71%,3646,66,1.81%
